longitude,latitude,name,address
-82.19138898,35.17760525,Landrum FD,"200 N Trade Ave, Landrum, SC 29356"
-82.308235,34.779091,Mauldin FD Headquarters,"9 E Butler Rd, Mauldin, SC 29662"
-82.294364,34.802261,Mauldin FD Station 1,"802 Miller Rd, Greenville, SC 29607"
-82.276054,34.820395,Mauldin FD Station 2,"300 Rocky Creek Rd, Greenville, SC 29615"
-81.85991835,35.08157767,Mayo FD Station 1,"150 Church St, Mayo, SC 29368"
-81.90505386,35.10914465,Mayo FD Station 2,"1296 Buck Creek Rd, Chesnee, SC 29323"
-82.04407249,35.12152883,New Prospect FD Station 1,"8951 Hwy 9, Inman, SC 29349"
-82.08888125,35.16884685,New Prospect FD Station 2,"945 Loop Rd, Campobello, SC 29322"
-82.399639,34.983707,North Greenville FD Station 1,"923 Tigerville Rd, Travelers Rest, SC 29690"
-82.476522,34.970876,North Greenville FD Station 2,"596 Hodgens Dr, Travelers Rest, SC 29690"
-82.01081292,35.00564008,North Spartanburg FD Station 1,"8767 Asheville Hwy, Boiling Springs, SC 29316"
-82.07515117,34.98820291,North Spartanburg FD Station 2,"1556 John Dodd Rd, Spartanburg, SC 29303"
-82.03138722,34.99244684,North Spartanburg FD Station 3,"2621 New Cut Rd, Spartanburg, SC 29303"
-81.76719327,34.89641741,Pacolet FD Station 1,"160 Hillbrook Cir, Pacolet, SC 29372"
-81.74739501,34.91530068,Pacolet FD Station 2,"1425 N Hwy 150, Pacolet, SC 29372"
-82.418755,34.87033,Parker FD Station 1,"107 Cedar Lane Rd, Greenville, SC 29601"
-82.440162,34.832933,Parker FD Station 2,"104 S Washington Ave, Greenville, SC 29611"
-82.398121,34.893607,Parker FD Station 3,"State Park Rd & Worley Rd, Greenville, SC"
-82.424675,34.819634,Parker FD Station 4,"86 Allen St, Greenville, SC 29605"
-82.22216092,34.8618395,Pelham-Batesville FD Station 1,"2761 S Hwy 14, Greer, SC 29650"
-82.240216,34.906302,Pelham-Batesville FD Station 2,"1605 S Hwy 14, Greer, SC 29650"
-82.228122,34.828244,Pelham-Batesville FD Station 3,"431 Batesville Rd, Simpsonville, SC 29681"
-82.19790044,34.87590758,Pelham-Batesville FD Station 4,"789 Brockman Mcclimon Rd, Greer, SC 29651"
-82.461847,34.704433,Piedmont FD Station 1,"3 Highway 86, Piedmont, SC 29673"
-82.438633,34.73433,Piedmont FD Station 2,"Piedmont Golf Course Rd, Piedmont, SC"
-82.372149,34.912545,Piedmont Park FD Station 1,"2119 State Park Rd, Greenville, SC 29609"
-82.345764,34.96193,Piedmont Park FD Station 2,"E Darby Rd, Taylors, SC"
-82.03887815,34.87475539,Poplar Springs FD Station 1,"3400 Moore-Duncan Hwy, Moore, SC 29369"
-82.07868499,34.92513486,Poplar Springs FD Station 2,"2050 Nazareth Rd, Wellford, SC 29385"
-82.01444007,34.80246332,Poplar Springs FD Station 3,"7850 Hwy 221, Moore, SC 29369"
-82.11660648,34.86441386,Reidville FD,"7450 Reidville Rd, Reidville, SC 29375"
-82.5395,35.120295,River Falls FD,"602 River Falls Rd, Marietta, SC 29661"
-81.9572612,34.8681909,Roebuck FD,"2639 Stone Station Rd, Roebuck, SC 29376"
-82.251533,34.739091,Simpsonville FD Station 1,"403 E Curtis St, Simpsonville, SC 29681"
-82.267808,34.730935,Simpsonville FD Station 2,"9 Capewood Rd, Simpsonville, SC 29680"
-82.257138,34.773697,Simpsonville FD Station 3,"839 Hwy 14, Simpsonville, SC 29681"
-82.274053,34.695279,Simpsonville FD Station 4,"1375 Neely Ferry Rd, Simpsonville, SC 29680"
-82.501214,35.026728,Slater Marietta FD Station 1,"3001 Geer Hwy, Marietta SC 29661"
-82.44566,35.041579,Slater Marietta FD Station 2,"1030 Bates Crossing Rd, Travelers Rest, SC 29690"
-82.39906,34.6852,South Greenville FD Station 1,"8305 Augusta Rd, Pelzer, SC 29669"
-82.386571,34.720319,South Greenville FD Station 2,"29005 Old Augusta Rd, Piedmont, SC 29673"
-82.332541,34.707496,South Greenville FD Station 3,"3 Holcombe Rd, Piedmont, SC 29673 "
-82.391662,34.629165,South Greenville FD Station 4,"30044 Augusta Rd, Pelzer, SC 29669"
-82.370376,34.546788,South Greenville FD Station 5,"1535 Holiday Dam Rd, Belton, SC 29627"
-82.306695,34.710869,South Greenville FD Station 6,"W Georgia Rd & Rocky Creek Rd, Simpsonville, SC 29680"
-81.932344,34.947636,Spartanburg City FD Station 1,"151 S Spring St, Spartanburg, SC 29306"
-81.90631072,34.93878098,Spartanburg City FD Station 2,"905 Union St, Spartanburg, SC 29302"
